date,id,risk_label,coder_notes
2023-03-30 05:32:11,1.6411764496957604e+18,0,
2023-03-15 20:44:18,1.6359701718220636e+18,0,
2023-03-01 18:13:50,1.63085887418504e+18,0,
2023-02-03 00:03:41,1.6211624464331858e+18,0,
2023-02-15 13:00:15,1.6257065314748375e+18,0,
2023-01-21 07:38:05,1.6165657574329672e+18,0,
2023-02-08 06:59:34,1.6230790471767982e+18,0,
2023-01-13 12:56:28,1.6137467790398874e+18,1,
2023-02-13 16:09:56,1.6250294894189732e+18,0,
2023-01-09 00:39:15,1.6121117010961613e+18,0,
2023-03-29 11:21:52,1.640902062962557e+18,0,
2023-02-17 20:59:17,1.626551858973266e+18,0,
2023-02-10 02:55:19,1.6237423519685468e+18,0,
2023-02-13 07:38:37,1.624900810499924e+18,0,
2023-03-10 12:54:55,1.6340401091871785e+18,0,
2023-02-25 12:10:28,1.629317881337901e+18,0,
2023-02-28 00:03:35,1.6302221174040207e+18,0,
2023-02-16 05:13:53,1.6259515520525967e+18,0,
2023-02-06 03:06:28,1.6222956079005286e+18,0,
2023-01-14 22:50:30,1.6142586583257047e+18,0,
2023-03-02 12:00:26,1.6311272956864758e+18,0,
2023-03-29 01:31:21,1.6407534510210007e+18,0,
2023-03-29 00:49:21,1.6407428835809526e+18,1,
2023-02-05 08:03:17,1.6220079157531812e+18,0,
2023-03-30 03:45:31,1.6411496037132861e+18,0,
2023-02-03 08:11:45,1.621285273555411e+18,0,
2023-02-07 09:15:01,1.6227507463817871e+18,0,
2023-01-31 17:39:19,1.620340939419177e+18,0,
2023-02-13 17:43:33,1.6250530488620442e+18,0,
2023-02-23 20:30:03,1.6287188287955927e+18,0,
2023-01-06 18:15:09,1.6112902612583834e+18,0,
2023-02-03 21:43:05,1.621489449258328e+18,1,
2023-01-17 06:37:03,1.6151008469408563e+18,0,
2023-03-11 07:03:43,1.6343141145068462e+18,0,
2023-03-30 06:10:25,1.6411860717224591e+18,0,
2023-02-02 18:15:17,1.6210747683961897e+18,0,
2023-01-05 17:23:18,1.610914825844183e+18,0,
2023-03-01 02:23:58,1.6306198344918467e+18,0,
2023-02-11 12:48:13,1.6242539478913843e+18,0,
2023-02-10 00:06:01,1.623699749319721e+18,0,
2023-01-23 03:37:14,1.617229921767637e+18,0,
2023-03-28 05:15:04,1.640447363566248e+18,0,
2023-02-09 22:57:26,1.6236824874981868e+18,0,
2023-03-29 15:29:00,1.6409642528727245e+18,0,
2023-03-23 05:26:34,1.6386383211477074e+18,0,
2023-03-04 08:06:17,1.6317931427050578e+18,0,
2023-02-27 11:56:31,1.6300391439033795e+18,0,
2023-03-01 20:58:38,1.630900348524327e+18,0,
2023-03-07 00:17:34,1.632762353497305e+18,0,
2023-03-29 21:52:39,1.641060802449793e+18,0,
2023-03-29 03:43:28,1.640786700929749e+18,0,
2023-02-12 01:26:23,1.6244447467509965e+18,0,
2023-03-24 21:15:49,1.639239595228541e+18,0,
2023-03-22 08:42:54,1.638325341604266e+18,0,
2023-02-07 20:13:58,1.6229165750022636e+18,0,
2023-01-11 06:27:29,1.612924109448532e+18,0,
2023-03-08 23:42:43,1.6334783548746383e+18,0,
2023-02-27 11:47:30,1.6300368749906207e+18,0,
2023-03-18 00:54:03,1.636757799303512e+18,0,
2023-01-11 16:46:30,1.6130798941281976e+18,0,
2023-02-09 11:38:45,1.6235116911525765e+18,0,
2023-01-18 15:10:54,1.6155925474974351e+18,0,
2023-03-22 04:24:36,1.6382603358902886e+18,0,
2023-01-25 13:48:35,1.6181085466878484e+18,0,
2023-03-20 18:21:51,1.6377462606721434e+18,0,
2023-02-03 00:52:29,1.6211747279047311e+18,0,
2023-02-18 11:20:15,1.6267685264334766e+18,0,
2023-03-05 15:38:13,1.632269262932054e+18,0,
2023-02-11 15:23:00,1.6242929010930893e+18,0,
2023-01-24 02:47:47,1.6175798662029967e+18,0,
2023-01-09 00:54:03,1.6121154225471775e+18,0,
2023-02-14 21:35:29,1.6254738065747517e+18,0,
2023-02-25 17:41:17,1.6294011339272438e+18,0,
2023-03-18 02:45:00,1.636785719417897e+18,1,
2023-02-03 07:22:33,1.6212728887615242e+18,0,
2023-03-01 17:02:00,1.6308407972886077e+18,0,
2023-02-17 21:05:10,1.626553337717072e+18,0,
2023-02-13 00:01:46,1.6247858416704758e+18,0,
2023-02-08 09:19:36,1.623114286678659e+18,0,
2023-02-05 08:00:21,1.6220071773460111e+18,0,
2023-03-16 07:42:48,1.6361358873805537e+18,0,
2023-01-24 00:03:26,1.6175385040573235e+18,0,
2023-01-14 00:54:59,1.6139276002079375e+18,0,
2023-01-28 04:11:58,1.619050600607658e+18,0,
2023-02-01 18:11:37,1.6207114563408364e+18,0,
2023-02-15 22:55:15,1.6258562684298445e+18,0,
2023-03-13 17:52:59,1.63520228150648e+18,0,
2023-02-01 01:10:07,1.6204543884930662e+18,0,
2023-02-02 08:30:46,1.620927671336321e+18,0,
2023-03-22 06:01:36,1.638284749151109e+18,0,
2023-01-27 09:42:30,1.618771394246099e+18,0,
2023-02-08 05:45:10,1.6230603215385682e+18,1,
2023-02-26 06:22:01,1.6295925794392228e+18,0,
2023-02-02 12:17:02,1.6209846097259725e+18,0,
2023-03-18 23:13:41,1.6370949308907766e+18,0,
2023-02-17 20:55:27,1.6265508920603812e+18,1,
2023-02-07 16:18:59,1.622857440747475e+18,0,
2023-01-29 00:36:41,1.6193588099564175e+18,0,
2023-02-22 07:21:08,1.6281579028076175e+18,0,
2023-03-08 06:23:28,1.6332168191326085e+18,0,
